DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.02.23 10:04:59 658,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 658.bmp
2018.02.23 10:04:59 689,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 689.bmp
2018.02.23 10:04:59 718,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 718.bmp
2018.02.23 10:04:59 746,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 746.bmp
2018.02.23 10:04:59 774,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 774.bmp
2018.02.23 10:04:59 803,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 803.bmp
2018.02.23 10:04:59 834,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 834.bmp
2018.02.23 10:04:59 871,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 871.bmp
2018.02.23 10:04:59 901,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 901.bmp
2018.02.23 10:04:59 931,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 931.bmp
2018.02.23 10:04:59 963,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 963.bmp
2018.02.23 10:04:59 994,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-59 994.bmp
2018.02.23 10:05:00 027,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 027.bmp
2018.02.23 10:05:00 057,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 057.bmp
2018.02.23 10:05:00 088,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 088.bmp
2018.02.23 10:05:00 117,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 117.bmp
2018.02.23 10:05:00 151,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 151.bmp
2018.02.23 10:05:00 182,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 182.bmp
2018.02.23 10:05:00 211,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 211.bmp
2018.02.23 10:05:00 242,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 242.bmp
2018.02.23 10:05:00 276,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 276.bmp
2018.02.23 10:05:00 313,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 313.bmp
2018.02.23 10:05:00 347,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 347.bmp
2018.02.23 10:05:00 377,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 377.bmp
2018.02.23 10:05:00 408,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 408.bmp
2018.02.23 10:05:00 439,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 439.bmp
2018.02.23 10:05:00 468,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 468.bmp
2018.02.23 10:05:00 501,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 501.bmp
2018.02.23 10:05:00 533,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 533.bmp
2018.02.23 10:05:00 564,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 564.bmp
2018.02.23 10:05:00 594,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 594.bmp
2018.02.23 10:05:00 627,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 627.bmp
2018.02.23 10:05:00 657,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 657.bmp
2018.02.23 10:05:00 687,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 687.bmp
2018.02.23 10:05:00 714,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 714.bmp
2018.02.23 10:05:00 749,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 749.bmp
2018.02.23 10:05:00 786,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 786.bmp
2018.02.23 10:05:00 817,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 817.bmp
2018.02.23 10:05:00 851,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 851.bmp
2018.02.23 10:05:00 882,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 882.bmp
2018.02.23 10:05:00 909,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 909.bmp
2018.02.23 10:05:00 942,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 942.bmp
2018.02.23 10:05:00 976,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-00 976.bmp
2018.02.23 10:05:01 012,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 012.bmp
2018.02.23 10:05:01 048,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 048.bmp
2018.02.23 10:05:01 079,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 079.bmp
2018.02.23 10:05:01 108,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 108.bmp
2018.02.23 10:05:01 141,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 141.bmp
2018.02.23 10:05:01 173,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 173.bmp
2018.02.23 10:05:01 203,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 203.bmp
2018.02.23 10:05:01 231,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 231.bmp
2018.02.23 10:05:01 263,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 263.bmp
2018.02.23 10:05:01 294,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 294.bmp
2018.02.23 10:05:01 333,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-05-01 333.bmp
2018.02.23 10:07:58 243,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-07-58 243.bmp
2018.02.23 10:07:58 818,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-07-58 818.bmp
2018.02.23 10:07:58 878,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-07-58 878.bmp
2018.02.23 10:07:58 989,1,BLOB,1,75,1144.20666666667,569.873333333333,D(0),알수없음,10,15,61.2,75,1.71,.\Image\NG\2018\02\23\알수없음\10-07-58 989.bmp
2018.02.23 10:07:59 052,1,BLOB,1,252,1140.42857142857,439.361111111111,D(0),알수없음,20,62,195.7,252,86.44,.\Image\NG\2018\02\23\알수없음\10-07-59 052.bmp
2018.02.23 10:09:41 293,1,BLOB,1,23835,1082.00220264317,509.23916509335,D(0),알수없음,138,200,768,23835,2.16,.\Image\NG\2018\02\23\알수없음\10-09-41 293.bmp
2018.02.23 10:09:41 401,1,BLOB,1,10931,1082.08000182966,570.806376360809,D(0),알수없음,144,81,438.3,10931,3.19,.\Image\NG\2018\02\23\알수없음\10-09-41 401.bmp
2018.02.23 10:09:42 570,1,BLOB,1,16489,1074.41097095033,543.592728485657,D(0),알수없음,131,177,711,16489,1.16,.\Image\NG\2018\02\23\알수없음\10-09-42 570.bmp
2018.02.23 10:09:42 623,1,BLOB,1,14462,1077.94938459411,464.38120591896,D(0),알수없음,133,112,461.6,14462,1.5,.\Image\NG\2018\02\23\알수없음\10-09-42 623.bmp
